Message stats for scenario BubbleRap_TTL30
sim_time: 1875143.0000
created: 54343
started: 6814
relayed: 6780
aborted: 34
dropped: 59017
removed: 1280
delivered: 775
delivery_prob: 0.0143
deliverycost: 0.1248
response_prob: 0.0000
overhead_ratio: 7.7484
latency_avg: 579.7213
latency_med: 441.0000
hopcount_avg: 3.2981
hopcount_med: 4
buffertime_avg: 1702.1787
buffertime_med: 1768.0000
rtt_avg: NaN
rtt_med: NaN

Message: message path and copies

Y35002(CreateFrom:n4,Dest:n27): {n4=8}
Y35001(CreateFrom:n37,Dest:n28): {n37=8}
Y35008(CreateFrom:n37,Dest:n0): {n37=8}
Y35007(CreateFrom:n15,Dest:n1): {n15=8}
Y35009(CreateFrom:n32,Dest:n30): {n32=8}
Y35004(CreateFrom:n46,Dest:n7): {n46=8}
Y35003(CreateFrom:n21,Dest:n20): {n21=8}
Y35006(CreateFrom:n28,Dest:n30): {n28=8}
Y35005(CreateFrom:n7,Dest:n14): {n7=8}
Y38497(CreateFrom:n5,Dest:n26): {n5=8}
Y38498(CreateFrom:n0,Dest:n30): {n0=8}
Y38499(CreateFrom:n28,Dest:n1): {n28=8}
Y38493(CreateFrom:n43,Dest:n4): {n43=8}
Y38494(CreateFrom:n30,Dest:n42): {n30=8}
Y38495(CreateFrom:n32,Dest:n42): {n32=8}
Y38496(CreateFrom:n35,Dest:n4): {n35=8}
Y38490(CreateFrom:n14,Dest:n46): {n14=8}
Y38492(CreateFrom:n21,Dest:n6): {n21=8}
Y38491(CreateFrom:n18,Dest:n23): {n18=8}
Y38456(CreateFrom:n24,Dest:n41): {n24=8}
Y38455(CreateFrom:n39,Dest:n41): {n42=7, n39=0}
Y38454(CreateFrom:n26,Dest:n23): {n26=8}
Y38453(CreateFrom:n35,Dest:n14): {n35=8}
Y38452(CreateFrom:n25,Dest:n16): {n25=8}
Y38451(CreateFrom:n11,Dest:n0): {n11=8}
Y38450(CreateFrom:n4,Dest:n28): {n4=8}
Y38459(CreateFrom:n33,Dest:n34): {n33=8}
Y38458(CreateFrom:n1,Dest:n23): {n1=8}
Y38457(CreateFrom:n41,Dest:n0): {n41=8}
Y38465(CreateFrom:n47,Dest:n27): {n47=8}
Y38464(CreateFrom:n12,Dest:n42): {n12=8}
Y38467(CreateFrom:n41,Dest:n42): {n41=8}
Y38466(CreateFrom:n35,Dest:n46): {n35=8}
Y38461(CreateFrom:n33,Dest:n38): {n33=8}
Y38460(CreateFrom:n4,Dest:n42): {n4=8}
Y38463(CreateFrom:n41,Dest:n40): {n41=8}
Y38462(CreateFrom:n15,Dest:n7): {n15=8}
Y38469(CreateFrom:n1,Dest:n39): {n1=8}
Y38468(CreateFrom:n31,Dest:n39): {n31=8}
Y47281(CreateFrom:n25,Dest:n33): {n25=8}
Y47280(CreateFrom:n28,Dest:n31): {n28=8}
Y38470(CreateFrom:n6,Dest:n29): {n6=8}
Y38474(CreateFrom:n10,Dest:n4): {n10=6, n25=2}
Y38473(CreateFrom:n47,Dest:n44): {n47=8}
Y38472(CreateFrom:n22,Dest:n0): {n22=8}
Y38471(CreateFrom:n23,Dest:n17): {n23=8}
Y38478(CreateFrom:n25,Dest:n32): {n25=8}
Y38477(CreateFrom:n28,Dest:n5): {n28=8}
Y38476(CreateFrom:n46,Dest:n39): {n46=8}
Y38475(CreateFrom:n33,Dest:n19): {n33=8}
Y47288(CreateFrom:n41,Dest:n16): {n41=8}
Y47289(CreateFrom:n22,Dest:n30): {n22=8}
Y47286(CreateFrom:n15,Dest:n39): {n15=8}
Y38479(CreateFrom:n7,Dest:n27): {n7=8}
Y47287(CreateFrom:n20,Dest:n44): {n20=8}
Y47284(CreateFrom:n12,Dest:n39): {n12=8}
Y47285(CreateFrom:n9,Dest:n27): {n9=8}
Y47282(CreateFrom:n6,Dest:n24): {n6=8}
Y47283(CreateFrom:n47,Dest:n33): {n47=8}
Y47290(CreateFrom:n47,Dest:n26): {n47=8}
Y47292(CreateFrom:n43,Dest:n2): {n43=8}
Y47291(CreateFrom:n17,Dest:n44): {n17=8}
Y38480(CreateFrom:n22,Dest:n37): {n22=8}
Y38481(CreateFrom:n20,Dest:n9): {n20=8}
Y38483(CreateFrom:n43,Dest:n4): {n43=8}
Y38482(CreateFrom:n28,Dest:n39): {n28=8}
Y38485(CreateFrom:n1,Dest:n48): {n1=8}
Y38484(CreateFrom:n0,Dest:n38): {n0=8}
Y38487(CreateFrom:n42,Dest:n40): {n42=8}
Y38486(CreateFrom:n1,Dest:n35): {n1=8}
Y38489(CreateFrom:n9,Dest:n26): {n9=8}
Y38488(CreateFrom:n43,Dest:n32): {n43=8}
Y47297(CreateFrom:n20,Dest:n2): {n20=8}
Y47298(CreateFrom:n32,Dest:n28): {n32=8}
Y47299(CreateFrom:n36,Dest:n27): {n36=8}
Y47293(CreateFrom:n19,Dest:n39): {n19=8}
Y47294(CreateFrom:n28,Dest:n30): {n28=8}
Y47295(CreateFrom:n46,Dest:n6): {n46=8}
Y47296(CreateFrom:n34,Dest:n3): {n34=8}
Y38419(CreateFrom:n14,Dest:n15): {n14=8}
Y47263(CreateFrom:n4,Dest:n13): {n4=8}
Y47262(CreateFrom:n2,Dest:n24): {n2=8}
Y38417(CreateFrom:n46,Dest:n30): {n46=8}
Y47261(CreateFrom:n19,Dest:n15): {n19=8}
Y38418(CreateFrom:n13,Dest:n38): {n13=8}
Y47260(CreateFrom:n18,Dest:n22): {n18=8}
Y38415(CreateFrom:n6,Dest:n25): {n6=8}
Y47267(CreateFrom:n13,Dest:n30): {n13=8}
Y38416(CreateFrom:n23,Dest:n19): {n23=8}
Y47266(CreateFrom:n17,Dest:n11): {n17=8}
Y38413(CreateFrom:n33,Dest:n19): {n33=8}
Y47265(CreateFrom:n4,Dest:n10): {n4=8}
Y38414(CreateFrom:n20,Dest:n43): {n20=8}
Y47264(CreateFrom:n31,Dest:n23): {n31=8}
Y38411(CreateFrom:n1,Dest:n13): {n1=8}
Y38412(CreateFrom:n30,Dest:n31): {n30=8}
Y47269(CreateFrom:n42,Dest:n10): {n42=8}
Y38410(CreateFrom:n23,Dest:n19): {n23=8}
Y47268(CreateFrom:n14,Dest:n23): {n14=8}
Y47270(CreateFrom:n40,Dest:n2): {n40=8}
Y38428(CreateFrom:n20,Dest:n36): {n20=8}
Y47272(CreateFrom:n9,Dest:n5): {n9=8}
Y38429(CreateFrom:n2,Dest:n16): {n2=8}
Y47271(CreateFrom:n14,Dest:n32): {n14=8}
Y47274(CreateFrom:n12,Dest:n32): {n12=8}
Y47273(CreateFrom:n37,Dest:n10): {n37=8}
Y38424(CreateFrom:n9,Dest:n32): {n9=8}
Y47276(CreateFrom:n22,Dest:n16): {n22=8}
Y38425(CreateFrom:n26,Dest:n45): {n26=8}
Y47275(CreateFrom:n20,Dest:n43): {n20=8}
Y38426(CreateFrom:n22,Dest:n45): {n22=8}
Y47278(CreateFrom:n35,Dest:n44): {n35=8}
Y38427(CreateFrom:n39,Dest:n21): {n39=8}
Y47277(CreateFrom:n29,Dest:n48): {n29=8}
Y38420(CreateFrom:n20,Dest:n27): {n20=8}
Y38421(CreateFrom:n17,Dest:n9): {n17=8}
Y47279(CreateFrom:n41,Dest:n46): {n41=8}
Y38422(CreateFrom:n17,Dest:n27): {n17=8}
Y38423(CreateFrom:n14,Dest:n40): {n14=8}
Y38437(CreateFrom:n15,Dest:n29): {n15=8}
Y47245(CreateFrom:n41,Dest:n33): {n41=8}
Y38438(CreateFrom:n31,Dest:n27): {n31=8}
Y47244(CreateFrom:n7,Dest:n31): {n7=8}
Y38435(CreateFrom:n43,Dest:n7): {n43=8}
Y47243(CreateFrom:n36,Dest:n10): {n36=8}
Y38436(CreateFrom:n15,Dest:n3): {n15=8}
Y47242(CreateFrom:n46,Dest:n32): {n46=8}
Y47241(CreateFrom:n2,Dest:n27): {n2=8}
Y47240(CreateFrom:n43,Dest:n23): {n43=8}
Y38439(CreateFrom:n40,Dest:n17): {n40=8}
Y38430(CreateFrom:n43,Dest:n17): {n43=8}
Y38433(CreateFrom:n40,Dest:n44): {n40=8}
Y47249(CreateFrom:n40,Dest:n4): {n40=8}
Y38434(CreateFrom:n44,Dest:n6): {n44=8}
Y47248(CreateFrom:n39,Dest:n14): {n39=8}
Y38431(CreateFrom:n44,Dest:n21): {n44=8}
Y47247(CreateFrom:n16,Dest:n32): {n35=7, n16=1}
Y38432(CreateFrom:n7,Dest:n22): {n7=8}
Y47246(CreateFrom:n40,Dest:n45): {n40=8}
Y38446(CreateFrom:n10,Dest:n39): {n10=4, n25=2}
Y47254(CreateFrom:n18,Dest:n29): {n18=8}
Y38447(CreateFrom:n42,Dest:n31): {n42=8}
Y47253(CreateFrom:n31,Dest:n9): {n31=8}
Y38448(CreateFrom:n33,Dest:n40): {n33=8}
Y47256(CreateFrom:n39,Dest:n30): {n39=8}
Y38449(CreateFrom:n21,Dest:n17): {n21=8}
Y47255(CreateFrom:n1,Dest:n37): {n1=8}
Y47250(CreateFrom:n32,Dest:n11): {n32=8}
Y47252(CreateFrom:n6,Dest:n30): {n6=8}
Y47251(CreateFrom:n11,Dest:n17): {n11=8}
Y38440(CreateFrom:n30,Dest:n29): {n30=8}
Y38441(CreateFrom:n24,Dest:n6): {n24=8}
Y38442(CreateFrom:n32,Dest:n14): {n32=8}
Y47258(CreateFrom:n36,Dest:n38): {n36=8}
Y38443(CreateFrom:n17,Dest:n36): {n17=8}
Y47257(CreateFrom:n33,Dest:n29): {n33=8}
Y38444(CreateFrom:n28,Dest:n27): {n28=8}
Y38445(CreateFrom:n18,Dest:n41): {n3=7, n18=1}
Y47259(CreateFrom:n42,Dest:n9): {n42=8}
Y38409(CreateFrom:n9,Dest:n35): {n9=8}
Y38408(CreateFrom:n9,Dest:n19): {n9=8}
Y47450(CreateFrom:n41,Dest:n38): {n41=8}
Y38407(CreateFrom:n35,Dest:n23): {n35=8}
Y38406(CreateFrom:n48,Dest:n34): {n48=8}
Y38405(CreateFrom:n15,Dest:n16): {n15=8}
Y47453(CreateFrom:n3,Dest:n28): {n3=8}
Y38404(CreateFrom:n48,Dest:n44): {n48=8}
Y47454(CreateFrom:n46,Dest:n17): {n46=8}
Y38403(CreateFrom:n9,Dest:n18): {n9=8}
Y47451(CreateFrom:n35,Dest:n19): {n35=8}
