Message stats for scenario BubbleRap_TTL10
sim_time: 259200.0000
created: 1000
started: 256
relayed: 175
aborted: 81
dropped: 1059
removed: 53
delivered: 61
delivery_prob: 0.0610
deliverycost: 0.1750
response_prob: 0.0000
overhead_ratio: 1.8689
latency_avg: 148.3934
latency_med: 57.0000
hopcount_avg: 3.3770
hopcount_med: 4
buffertime_avg: 532.2860
buffertime_med: 567.0000
rtt_avg: NaN
rtt_med: NaN

Message: message path and copies

Y125(CreateFrom:n89,Dest:n48): {n89=8}
Y126(CreateFrom:n41,Dest:n15): {n41=8}
Y127(CreateFrom:n74,Dest:n51): {n74=8}
Y128(CreateFrom:n36,Dest:n84): {n36=8}
Y129(CreateFrom:n15,Dest:n28): {n15=8}
Y120(CreateFrom:n25,Dest:n59): {n25=8}
Y121(CreateFrom:n63,Dest:n55): {n63=8}
Y392(CreateFrom:n64,Dest:n20): {n64=8}
Y391(CreateFrom:n89,Dest:n60): {n89=8}
Y390(CreateFrom:n23,Dest:n48): {n23=8}
Y396(CreateFrom:n61,Dest:n62): {n61=8}
Y395(CreateFrom:n95,Dest:n96): {n95=8}
Y394(CreateFrom:n5,Dest:n11): {n5=8}
Y393(CreateFrom:n97,Dest:n40): {n97=8}
Y399(CreateFrom:n42,Dest:n39): {n42=8}
Y109(CreateFrom:n24,Dest:n87): {n24=8}
Y398(CreateFrom:n57,Dest:n87): {n57=8}
Y108(CreateFrom:n16,Dest:n22): {n16=8}
Y397(CreateFrom:n63,Dest:n35): {n63=8}
Y113(CreateFrom:n55,Dest:n19): {n55=8}
Y114(CreateFrom:n1,Dest:n28): {n1=8}
Y111(CreateFrom:n91,Dest:n22): {n91=8}
Y112(CreateFrom:n26,Dest:n21): {n26=8}
Y117(CreateFrom:n8,Dest:n6): {n8=8}
Y118(CreateFrom:n83,Dest:n44): {n83=8}
Y115(CreateFrom:n3,Dest:n89): {n3=8}
Y116(CreateFrom:n68,Dest:n25): {n68=8}
Y110(CreateFrom:n82,Dest:n74): {n82=8}
Y865(CreateFrom:n32,Dest:n4): {n32=8}
Y866(CreateFrom:n63,Dest:n84): {n63=8}
Y863(CreateFrom:n13,Dest:n86): {n13=8}
Y864(CreateFrom:n57,Dest:n34): {n57=8}
Y861(CreateFrom:n36,Dest:n14): {n36=8}
Y862(CreateFrom:n84,Dest:n75): {n84=8}
Y860(CreateFrom:n48,Dest:n78): {n48=8}
Y107(CreateFrom:n1,Dest:n40): {n1=8}
Y106(CreateFrom:n11,Dest:n4): {n11=8}
Y105(CreateFrom:n43,Dest:n17): {n43=8}
Y104(CreateFrom:n73,Dest:n97): {n73=8}
Y103(CreateFrom:n45,Dest:n65): {n45=8}
Y102(CreateFrom:n42,Dest:n0): {n42=8}
Y101(CreateFrom:n73,Dest:n33): {n73=8}
Y100(CreateFrom:n30,Dest:n92): {n30=8}
Y304(CreateFrom:n17,Dest:n83): {n17=8}
Y305(CreateFrom:n59,Dest:n5): {n59=8}
Y302(CreateFrom:n93,Dest:n85): {n93=8}
Y303(CreateFrom:n28,Dest:n16): {n28=8}
Y300(CreateFrom:n36,Dest:n0): {n36=8}
Y301(CreateFrom:n17,Dest:n88): {n17=8}
Y859(CreateFrom:n19,Dest:n78): {n19=8}
Y858(CreateFrom:n1,Dest:n26): {n1=8}
Y857(CreateFrom:n21,Dest:n24): {n24=0, n21=8}
Y856(CreateFrom:n23,Dest:n81): {n23=8}
Y852(CreateFrom:n22,Dest:n85): {n22=8}
Y853(CreateFrom:n19,Dest:n77): {n19=8}
Y854(CreateFrom:n80,Dest:n57): {n80=8}
Y855(CreateFrom:n29,Dest:n19): {n29=8}
Y850(CreateFrom:n28,Dest:n35): {n28=8}
Y851(CreateFrom:n69,Dest:n12): {n69=8}
Y849(CreateFrom:n81,Dest:n25): {n81=8}
Y846(CreateFrom:n75,Dest:n25): {n75=8}
Y845(CreateFrom:n68,Dest:n50): {n68=8}
Y848(CreateFrom:n63,Dest:n49): {n63=8}
Y847(CreateFrom:n59,Dest:n85): {n59=8}
Y840(CreateFrom:n53,Dest:n45): {n53=8}
Y843(CreateFrom:n28,Dest:n69): {n28=8}
Y844(CreateFrom:n38,Dest:n19): {n38=8}
Y841(CreateFrom:n25,Dest:n83): {n25=8}
Y842(CreateFrom:n20,Dest:n38): {n20=8}
Y837(CreateFrom:n49,Dest:n59): {n49=8}
Y836(CreateFrom:n49,Dest:n91): {n49=8}
Y835(CreateFrom:n19,Dest:n76): {n19=8}
Y834(CreateFrom:n2,Dest:n61): {n2=8}
Y839(CreateFrom:n61,Dest:n9): {n61=8}
Y838(CreateFrom:n16,Dest:n30): {n16=8}
Y830(CreateFrom:n48,Dest:n91): {n48=8}
Y831(CreateFrom:n13,Dest:n92): {n13=8}
Y832(CreateFrom:n19,Dest:n53): {n19=8}
Y833(CreateFrom:n71,Dest:n97): {n71=8}
Y824(CreateFrom:n8,Dest:n5): {n8=7, n5=0, n9=2}
Y823(CreateFrom:n5,Dest:n62): {n5=8}
Y826(CreateFrom:n4,Dest:n13): {n13=0, n15=2, n2=1, n4=0}
Y825(CreateFrom:n5,Dest:n87): {n5=8}
Y828(CreateFrom:n73,Dest:n24): {n73=8}
Y827(CreateFrom:n86,Dest:n57): {n86=8}
Y829(CreateFrom:n5,Dest:n17): {n5=8}
Y339(CreateFrom:n48,Dest:n67): {n48=8}
Y822(CreateFrom:n15,Dest:n12): {n15=8}
Y821(CreateFrom:n71,Dest:n32): {n71=8}
Y820(CreateFrom:n15,Dest:n97): {n15=8}
Y619(CreateFrom:n88,Dest:n40): {n88=8}
Y618(CreateFrom:n7,Dest:n2): {n7=8}
Y617(CreateFrom:n2,Dest:n39): {n2=8}
Y616(CreateFrom:n55,Dest:n19): {n55=8}
