0	0.824185624
1	1.636093677
2	1.951335663
3	0.930257826
4	1.012554698
5	1.172525412
6	0.961107983
7	1.19278454
8	0.2
9	1.678576853
10	1.730386898
11	1.421108402
12	0.928070917
13	0.427616974
14	0.785671554
15	0.432443783
16	0.68558563
17	0.756520072
18	1.157752765
19	0.851976462
20	0.2
21	0.2
22	1.713501317
23	0.983596249
24	1.063154794
25	1.072677554
26	0.956169607
27	0.310935301
28	0.917872958
29	0.333754129
30	0.994713745
31	0.359517363
32	1.156885436
33	0.881528185
34	1.576218863
35	1.73908504
36	0.918513515
37	0.774338718
38	0.717113639
39	0.564046649
40	1.534396471
41	0.701272897
42	0.360717085
43	1.155544843
44	0.880711525
45	1.565137231
46	0.557228703
47	0.750315298
48	0.89695032
49	0.774459768
50	0.330733297
51	1.231696282
52	1.263949813
53	0.959427373
54	1.346572725
55	0.992155711
56	0.453636838
57	1.724805199
58	1.051193571
59	0.2
60	1.144305603
61	0.386040741
62	0.593590298
63	1.236786437
64	1.538188907
